Target Distance :100, Step Size : 2
179: (x,y) = (9.68904, 11.6896)
180: (x,y) = (11.6116, 12.2409)
181: (x,y) = (10.8624, 14.0952)
182: (x,y) = (8.8991, 13.7136)
183: (x,y) = (6.98649, 13.1289)
184: (x,y) = (8.75238, 14.0678)
185: (x,y) = (8.92669, 12.0754)
186: (x,y) = (10.2907, 13.5381)
187: (x,y) = (12.2797, 13.3291)
188: (x,y) = (11.3101, 11.5798)
189: (x,y) = (11.0318, 13.5604)
190: (x,y) = (10.1865, 15.373)
191: (x,y) = (10.1516, 13.3733)
192: (x,y) = (11.7489, 14.5769)
193: (x,y) = (12.2665, 16.5088)
194: (x,y) = (13.6305, 15.0461)
195: (x,y) = (15.4849, 14.2968)
196: (x,y) = (16.7162, 12.7208)
197: (x,y) = (14.719, 12.6162)
198: (x,y) = (15.9776, 14.1704)
199: (x,y) = (14.0213, 14.5863)
200: (x,y) = (15.9967, 14.8991)
201: (x,y) = (17.1151, 16.5572)
202: (x,y) = (16.2383, 14.7596)
203: (x,y) = (17.701, 16.1236)
204: (x,y) = (19.1637, 17.4876)
205: (x,y) = (20.3674, 19.0849)
206: (x,y) = (18.7914, 17.8536)
207: (x,y) = (18.9309, 19.8487)
208: (x,y) = (17.0515, 20.5327)
209: (x,y) = (18.1699, 18.8747)
210: (x,y) = (19.2297, 20.5708)
211: (x,y) = (20.568, 22.057)
212: (x,y) = (21.186, 20.1549)
213: (x,y) = (20.4693, 18.2878)
214: (x,y) = (19.5613, 20.0698)
215: (x,y) = (21.024, 18.7058)
216: (x,y) = (22.642, 19.8814)
217: (x,y) = (20.7195, 20.4326)
218: (x,y) = (18.7222, 20.328)
219: (x,y) = (16.9902, 21.328)
220: (x,y) = (16.7465, 19.3429)
221: (x,y) = (14.7768, 19.6902)
222: (x,y) = (15.8069, 21.4045)
223: (x,y) = (13.8264, 21.6828)
224: (x,y) = (12.9811, 19.8702)
225: (x,y) = (12.1044, 18.0726)
226: (x,y) = (10.3723, 19.0726)
227: (x,y) = (11.2176, 20.8853)
228: (x,y) = (12.1872, 19.136)
229: (x,y) = (12.7385, 21.0585)
230: (x,y) = (12.1872, 22.9811)
231: (x,y) = (13.4458, 21.4268)
232: (x,y) = (15.4446, 21.4966)
233: (x,y) = (13.9583, 20.1583)
234: (x,y) = (12.5197, 18.769)
235: (x,y) = (12.7634, 16.7839)
236: (x,y) = (11.0861, 17.8732)
237: (x,y) = (12.5003, 16.459)
238: (x,y) = (14.4954, 16.5985)
239: (x,y) = (15.7267, 15.0225)
240: (x,y) = (14.4146, 16.5319)
241: (x,y) = (15.3535, 18.2978)
242: (x,y) = (14.0153, 16.8115)
243: (x,y) = (15.0454, 18.5258)
244: (x,y) = (13.0481, 18.4211)
245: (x,y) = (14.9887, 17.9373)
246: (x,y) = (14.2395, 16.0829)
247: (x,y) = (12.7074, 14.7974)
248: (x,y) = (14.5618, 15.5466)
249: (x,y) = (15.2129, 17.4376)
250: (x,y) = (17.1825, 17.7849)
251: (x,y) = (17.7001, 15.8531)
252: (x,y) = (16.7305, 14.1038)
253: (x,y) = (17.7606, 12.3895)
254: (x,y) = (19.4927, 11.3895)
255: (x,y) = (21.4914, 11.3197)
256: (x,y) = (19.499, 11.1454)
257: (x,y) = (18.499, 12.8774)
258: (x,y) = (19.3758, 11.0798)
259: (x,y) = (18.2574, 12.7379)
260: (x,y) = (19.0709, 14.565)
261: (x,y) = (20.5572, 15.9033)
262: (x,y) = (21.7043, 14.265)
263: (x,y) = (22.4535, 16.1193)
264: (x,y) = (21.0149, 17.5086)
265: (x,y) = (22.5011, 18.8469)
266: (x,y) = (20.9251, 17.6156)
267: (x,y) = (21.409, 15.675)
268: (x,y) = (23.4062, 15.5703)
269: (x,y) = (21.9199, 14.2321)
270: (x,y) = (21.4361, 16.1726)
271: (x,y) = (23.4361, 16.1726)
272: (x,y) = (21.609, 16.9861)
273: (x,y) = (23.3749, 16.0472)
274: (x,y) = (24.405, 17.7615)
275: (x,y) = (26.2721, 17.0448)
276: (x,y) = (24.3025, 16.6975)
277: (x,y) = (25.5338, 15.1215)
278: (x,y) = (26.185, 17.0125)
279: (x,y) = (24.5076, 15.9232)
280: (x,y) = (23.8565, 14.0322)
281: (x,y) = (24.1694, 16.0076)
282: (x,y) = (26.139, 16.3549)
283: (x,y) = (24.775, 17.8176)
284: (x,y) = (24.2237, 15.895)
285: (x,y) = (26.1031, 15.211)
286: (x,y) = (28.1004, 15.3157)
287: (x,y) = (28.482, 17.2789)
288: (x,y) = (28.1004, 19.2422)
289: (x,y) = (29.07, 17.4929)
290: (x,y) = (29.5538, 19.4335)
291: (x,y) = (31.1081, 20.6922)
292: (x,y) = (29.4308, 19.6029)
293: (x,y) = (28.846, 17.6903)
294: (x,y) = (28.228, 19.5924)
295: (x,y) = (30.1976, 19.2451)
296: (x,y) = (31.0428, 17.4325)
297: (x,y) = (32.7009, 16.3141)
298: (x,y) = (31.0428, 17.4325)
299: (x,y) = (29.1203, 17.9838)
300: (x,y) = (30.1203, 19.7158)
301: (x,y) = (29.4363, 17.8364)
302: (x,y) = (27.5138, 18.3877)
303: (x,y) = (25.8957, 17.2121)
304: (x,y) = (24.4094, 15.8739)
305: (x,y) = (24.2004, 17.8629)
306: (x,y) = (24.9818, 19.7039)
307: (x,y) = (25.4995, 17.7721)
308: (x,y) = (25.7085, 15.783)
309: (x,y) = (24.1991, 17.0951)
310: (x,y) = (22.7128, 18.4334)
311: (x,y) = (20.7641, 18.8833)
312: (x,y) = (20.6943, 20.8821)
313: (x,y) = (18.9982, 21.9419)
314: (x,y) = (17.0177, 22.2203)
315: (x,y) = (15.4634, 20.9616)
316: (x,y) = (14.2047, 22.5159)
317: (x,y) = (12.2096, 22.6554)
318: (x,y) = (10.24, 23.0027)
319: (x,y) = (9.82415, 24.959)
320: (x,y) = (11.7729, 24.5091)
321: (x,y) = (10.9594, 22.682)
322: (x,y) = (9.40513, 23.9407)
323: (x,y) = (9.98987, 25.8533)
324: (x,y) = (11.9462, 26.2691)
325: (x,y) = (10.9161, 27.9834)
326: (x,y) = (11.7613, 26.1708)
327: (x,y) = (9.76163, 26.2057)
328: (x,y) = (11.2711, 24.8936)
329: (x,y) = (11.5839, 26.869)
330: (x,y) = (13.5064, 26.3177)
331: (x,y) = (15.3975, 26.9689)
332: (x,y) = (17.1467, 25.9992)
333: (x,y) = (19.0261, 26.6833)
334: (x,y) = (18.4414, 28.5959)
335: (x,y) = (19.2866, 30.4085)
336: (x,y) = (21.2429, 29.9927)
337: (x,y) = (22.6069, 31.4554)
338: (x,y) = (24.5765, 31.1081)
339: (x,y) = (24.3674, 29.119)
340: (x,y) = (25.4273, 30.8151)
341: (x,y) = (27.4273, 30.8151)
342: (x,y) = (28.5457, 29.1571)
343: (x,y) = (30.4, 29.9063)
344: (x,y) = (28.6857, 30.9364)
345: (x,y) = (27.809, 32.7339)
346: (x,y) = (26.8393, 30.9847)
347: (x,y) = (25.1073, 31.9847)
348: (x,y) = (23.1848, 32.536)
349: (x,y) = (24.4161, 34.112)
350: (x,y) = (23.7981, 32.2099)
351: (x,y) = (22.0322, 33.1488)
352: (x,y) = (20.0625, 33.4961)
353: (x,y) = (19.8882, 31.5037)
354: (x,y) = (18.474, 30.0895)
355: (x,y) = (16.4752, 30.0197)
356: (x,y) = (16.0936, 28.0565)
357: (x,y) = (14.2142, 28.7405)
358: (x,y) = (16.213, 28.8103)
359: (x,y) = (14.637, 27.579)
360: (x,y) = (13.8555, 29.42)
361: (x,y) = (12.2795, 28.1887)
362: (x,y) = (11.5955, 30.0681)
363: (x,y) = (11.8045, 32.0571)
364: (x,y) = (11.1205, 33.9365)
365: (x,y) = (11.1554, 35.9362)
366: (x,y) = (13.0226, 36.6529)
367: (x,y) = (12.7097, 38.6283)
368: (x,y) = (11.271, 40.0176)
369: (x,y) = (13.2273, 40.4334)
370: (x,y) = (12.0802, 38.7951)
371: (x,y) = (10.1396, 38.3113)
372: (x,y) = (9.26282, 36.5137)
373: (x,y) = (7.26312, 36.5486)
374: (x,y) = (7.29803, 38.5483)
375: (x,y) = (8.97537, 39.6376)
376: (x,y) = (9.85211, 37.84)
377: (x,y) = (11.5842, 36.84)
378: (x,y) = (12.7313, 38.4783)
379: (x,y) = (12.384, 40.4479)
380: (x,y) = (14.2384, 41.1971)
381: (x,y) = (12.2387, 41.232)
382: (x,y) = (11.1203, 42.8901)
383: (x,y) = (9.17156, 42.4402)
384: (x,y) = (9.34588, 44.4326)
385: (x,y) = (7.83646, 43.1205)
386: (x,y) = (7.05499, 41.2795)
387: (x,y) = (8.97752, 40.7282)
388: (x,y) = (8.39277, 38.8156)
389: (x,y) = (7.3627, 40.5299)
390: (x,y) = (7.91397, 42.4524)
391: (x,y) = (9.90302, 42.6615)
392: (x,y) = (11.7702, 41.9448)
393: (x,y) = (9.77505, 41.8052)
394: (x,y) = (11.3511, 40.5739)
395: (x,y) = (12.9271, 39.3426)
396: (x,y) = (11.269, 40.461)
397: (x,y) = (13.1915, 39.9097)
398: (x,y) = (14.1612, 41.6589)
399: (x,y) = (14.577, 39.7027)
400: (x,y) = (13.2387, 38.2164)
401: (x,y) = (11.2824, 38.6322)
402: (x,y) = (13.2457, 38.2506)
403: (x,y) = (12.4965, 40.1049)
404: (x,y) = (14.4528, 39.6891)
405: (x,y) = (14.8686, 41.6454)
406: (x,y) = (16.7707, 42.2634)
407: (x,y) = (14.9436, 43.0769)
408: (x,y) = (16.2819, 44.5632)
409: (x,y) = (16.8666, 46.4758)
410: (x,y) = (15.6353, 48.0518)
411: (x,y) = (16.7246, 46.3745)
412: (x,y) = (16.1398, 44.4619)
413: (x,y) = (15.5551, 42.5493)
414: (x,y) = (17.5356, 42.8276)
415: (x,y) = (15.8036, 41.8276)
416: (x,y) = (14.9901, 43.6547)
417: (x,y) = (13.7865, 45.252)
418: (x,y) = (14.5999, 47.0791)
419: (x,y) = (16.5805, 47.3574)
420: (x,y) = (15.8637, 45.4903)
421: (x,y) = (14.3316, 46.7758)
422: (x,y) = (13.5182, 44.9487)
423: (x,y) = (12.1799, 43.4625)
424: (x,y) = (10.2673, 42.8777)
425: (x,y) = (8.51806, 41.9081)
426: (x,y) = (6.54845, 41.5608)
427: (x,y) = (8.46106, 40.9761)
428: (x,y) = (6.51232, 40.5261)
429: (x,y) = (5.42304, 42.2035)
430: (x,y) = (3.96033, 43.5675)
431: (x,y) = (4.7418, 41.7265)
432: (x,y) = (5.49101, 39.8721)
433: (x,y) = (4.31544, 41.4901)
434: (x,y) = (5.72965, 42.9044)
435: (x,y) = (3.96376, 43.8433)
436: (x,y) = (4.4476, 45.7839)
437: (x,y) = (5.29284, 43.9713)
438: (x,y) = (6.52416, 42.3953)
439: (x,y) = (8.52142, 42.2906)
440: (x,y) = (10.4968, 42.6035)
441: (x,y) = (10.9806, 44.544)
442: (x,y) = (11.9806, 42.812)
443: (x,y) = (10.5913, 44.2507)
444: (x,y) = (8.72416, 43.5339)
445: (x,y) = (6.72416, 43.5339)
446: (x,y) = (8.64669, 42.9827)
447: (x,y) = (6.66615, 42.7043)
448: (x,y) = (7.86978, 41.107)
449: (x,y) = (9.15535, 42.6391)
450: (x,y) = (9.90457, 44.4935)
451: (x,y) = (7.98204, 43.9422)
452: (x,y) = (8.92099, 45.7081)
453: (x,y) = (10.3103, 44.2694)
454: (x,y) = (11.2183, 42.4874)
455: (x,y) = (10.8367, 40.5242)
456: (x,y) = (8.92406, 41.1089)
457: (x,y) = (10.9238, 41.074)
458: (x,y) = (9.98481, 39.3081)
459: (x,y) = (8.64655, 37.8218)
460: (x,y) = (7.55727, 39.4992)
461: (x,y) = (9.43666, 40.1832)
462: (x,y) = (7.54562, 40.8343)
463: (x,y) = (8.13036, 38.9217)
464: (x,y) = (10.0325, 39.5398)
465: (x,y) = (10.4141, 41.503)
466: (x,y) = (11.7262, 39.9936)
467: (x,y) = (11.5519, 41.986)
468: (x,y) = (13.4925, 42.4698)
469: (x,y) = (13.1109, 40.5066)
470: (x,y) = (13.0411, 42.5054)
471: (x,y) = (12.5234, 40.5735)
472: (x,y) = (10.7414, 39.6655)
473: (x,y) = (10.5324, 37.6765)
474: (x,y) = (12.2816, 38.6461)
475: (x,y) = (13.5937, 40.1555)
476: (x,y) = (13.8028, 42.1446)
477: (x,y) = (12.9575, 40.332)
478: (x,y) = (12.3064, 42.223)
479: (x,y) = (12.0627, 40.2379)
480: (x,y) = (12.9079, 38.4253)
481: (x,y) = (10.9106, 38.53)
482: (x,y) = (10.5634, 40.4996)
483: (x,y) = (12.5621, 40.4298)
484: (x,y) = (11.25, 41.9392)
485: (x,y) = (11.2151, 39.9395)
486: (x,y) = (9.95647, 41.4938)
487: (x,y) = (8.00773, 41.9437)
488: (x,y) = (7.93793, 39.9449)
489: (x,y) = (9.89422, 40.3607)
490: (x,y) = (11.5325, 41.5079)
491: (x,y) = (11.2888, 39.5228)
492: (x,y) = (11.0797, 37.5338)
493: (x,y) = (11.7965, 39.4009)
494: (x,y) = (9.82685, 39.0536)
495: (x,y) = (10.2427, 37.0973)
496: (x,y) = (12.1221, 37.7814)
497: (x,y) = (10.5678, 39.04)
498: (x,y) = (9.85103, 37.1728)
499: (x,y) = (9.71152, 35.1777)
500: (x,y) = (9.78132, 33.1789)
501: (x,y) = (11.6724, 32.5278)
502: (x,y) = (9.77024, 33.1458)
503: (x,y) = (8.77024, 34.8779)
504: (x,y) = (7.86226, 36.6599)
505: (x,y) = (8.77024, 38.4419)
506: (x,y) = (10.2797, 39.754)
507: (x,y) = (8.4125, 39.0373)
508: (x,y) = (9.67114, 37.483)
509: (x,y) = (7.93909, 38.483)
510: (x,y) = (7.42145, 40.4148)
511: (x,y) = (6.54471, 42.2124)
512: (x,y) = (8.22205, 41.1232)
513: (x,y) = (8.67196, 43.0719)
514: (x,y) = (7.85848, 44.899)
515: (x,y) = (9.59053, 43.899)
516: (x,y) = (11.5311, 43.4151)
517: (x,y) = (10.6544, 41.6176)
518: (x,y) = (9.19167, 42.9816)
519: (x,y) = (8.6404, 41.059)
520: (x,y) = (7.40908, 42.6351)
521: (x,y) = (8.82329, 44.0493)
522: (x,y) = (6.96892, 44.7985)
523: (x,y) = (8.66502, 45.8583)
524: (x,y) = (10.6056, 45.3745)
525: (x,y) = (9.07352, 44.0889)
526: (x,y) = (7.08448, 43.8798)
527: (x,y) = (9.07352, 44.0889)
528: (x,y) = (7.89795, 42.4709)
529: (x,y) = (8.38179, 44.4115)
530: (x,y) = (8.45159, 42.4127)
531: (x,y) = (10.3537, 43.0307)
532: (x,y) = (11.0048, 41.1397)
533: (x,y) = (12.1804, 39.5216)
534: (x,y) = (14.15, 39.8689)
535: (x,y) = (15.514, 41.3316)
536: (x,y) = (17.4836, 41.6789)
537: (x,y) = (18.7423, 43.2332)
538: (x,y) = (17.7423, 44.9653)
539: (x,y) = (15.779, 44.5837)
540: (x,y) = (16.3638, 46.4963)
541: (x,y) = (16.12, 48.4814)
542: (x,y) = (17.3237, 46.8841)
543: (x,y) = (17.3935, 44.8853)
544: (x,y) = (18.7828, 46.324)
545: (x,y) = (19.5963, 44.4969)
546: (x,y) = (18.751, 46.3095)
547: (x,y) = (20.4471, 47.3694)
548: (x,y) = (21.7327, 48.9014)
549: (x,y) = (21.1147, 46.9993)
550: (x,y) = (19.2475, 47.7161)
551: (x,y) = (20.5331, 49.2482)
552: (x,y) = (18.5698, 49.6298)
553: (x,y) = (16.5944, 49.3169)
554: (x,y) = (17.9838, 47.8782)
555: (x,y) = (16.1711, 48.7235)
556: (x,y) = (16.5528, 46.7602)
557: (x,y) = (15.0207, 48.0458)
558: (x,y) = (16.698, 49.1351)
559: (x,y) = (18.48, 50.043)
560: (x,y) = (18.5498, 52.0418)
561: (x,y) = (16.551, 52.1116)
562: (x,y) = (17.9404, 53.5503)
563: (x,y) = (17.2563, 51.6709)
564: (x,y) = (16.1379, 53.329)
565: (x,y) = (17.2563, 54.9871)
566: (x,y) = (18.1643, 53.2051)
567: (x,y) = (20.1533, 53.4141)
568: (x,y) = (22.0327, 52.7301)
569: (x,y) = (22.6839, 50.839)
570: (x,y) = (20.7713, 50.2543)
571: (x,y) = (21.2889, 48.3224)
572: (x,y) = (20.9073, 46.3592)
573: (x,y) = (22.8199, 46.9439)
574: (x,y) = (20.9178, 46.3259)
575: (x,y) = (22.0649, 44.6876)
576: (x,y) = (20.0677, 44.5829)
577: (x,y) = (21.4317, 43.1202)
578: (x,y) = (23.286, 42.371)
579: (x,y) = (22.0824, 40.7737)
580: (x,y) = (22.5323, 42.7225)
581: (x,y) = (24.5077, 43.0353)
582: (x,y) = (24.9576, 41.0866)
583: (x,y) = (24.1761, 39.2456)
584: (x,y) = (22.274, 38.6275)
585: (x,y) = (21.1847, 36.9502)
586: (x,y) = (21.3242, 34.9551)
587: (x,y) = (23.2996, 34.6422)
588: (x,y) = (22.5829, 32.775)
589: (x,y) = (20.5829, 32.775)
590: (x,y) = (22.4739, 33.4262)
591: (x,y) = (24.3283, 32.677)
592: (x,y) = (26.3271, 32.6072)
593: (x,y) = (27.1723, 34.4198)
594: (x,y) = (25.834, 32.9335)
595: (x,y) = (27.8231, 32.7244)
596: (x,y) = (29.8082, 32.4807)
597: (x,y) = (31.4054, 33.6843)
598: (x,y) = (33.4051, 33.7192)
599: (x,y) = (35.1872, 32.8113)
600: (x,y) = (33.285, 32.1932)
601: (x,y) = (33.9691, 34.0726)
602: (x,y) = (33.5875, 32.1094)
603: (x,y) = (33.3437, 34.0944)
604: (x,y) = (34.8531, 32.7823)
605: (x,y) = (36.5675, 31.7523)
606: (x,y) = (38.0302, 33.1162)
607: (x,y) = (36.4542, 34.3476)
608: (x,y) = (34.6566, 35.2243)
609: (x,y) = (34.0718, 33.3117)
610: (x,y) = (33.2904, 31.4707)
611: (x,y) = (32.0317, 29.9164)
612: (x,y) = (31.7534, 27.9359)
613: (x,y) = (33.2397, 29.2741)
614: (x,y) = (35.2093, 28.9268)
615: (x,y) = (36.9752, 27.9879)
616: (x,y) = (35.2259, 28.9575)
617: (x,y) = (33.7632, 30.3215)
618: (x,y) = (31.8314, 29.8039)
619: (x,y) = (33.3408, 31.116)
620: (x,y) = (34.8035, 29.752)
621: (x,y) = (33.1454, 28.6336)
622: (x,y) = (32.4943, 26.7426)
623: (x,y) = (30.5092, 26.4988)
624: (x,y) = (28.76, 27.4684)
625: (x,y) = (30.7353, 27.1556)
626: (x,y) = (28.7357, 27.1207)
627: (x,y) = (30.6483, 27.7054)
628: (x,y) = (30.301, 25.7358)
629: (x,y) = (31.4765, 27.3538)
630: (x,y) = (33.4461, 27.0065)
631: (x,y) = (33.1678, 28.9871)
632: (x,y) = (32.0207, 30.6254)
633: (x,y) = (30.9906, 32.3397)
634: (x,y) = (29.0681, 31.7884)
635: (x,y) = (30.5067, 30.3991)
636: (x,y) = (32.0828, 29.1678)
637: (x,y) = (31.366, 31.035)
638: (x,y) = (31.0531, 33.0103)
639: (x,y) = (30.1764, 34.8079)
640: (x,y) = (32.1715, 34.9474)
641: (x,y) = (30.5955, 33.7161)
642: (x,y) = (29.0634, 32.4305)
643: (x,y) = (27.5771, 33.7688)
644: (x,y) = (27.2643, 31.7934)
645: (x,y) = (25.5322, 30.7934)
646: (x,y) = (27.4343, 30.1754)
647: (x,y) = (28.6656, 31.7514)
648: (x,y) = (27.1114, 30.4928)
649: (x,y) = (25.1141, 30.5974)
650: (x,y) = (26.7524, 29.4503)
651: (x,y) = (24.7573, 29.5898)
652: (x,y) = (24.5482, 27.6008)
653: (x,y) = (22.9302, 26.4252)
654: (x,y) = (24.9274, 26.5299)
655: (x,y) = (25.5122, 24.6173)
656: (x,y) = (25.8938, 26.5805)
657: (x,y) = (26.9831, 28.2578)
658: (x,y) = (28.1015, 26.5998)
659: (x,y) = (29.9686, 25.883)
660: (x,y) = (29.2519, 27.7502)
661: (x,y) = (27.3032, 28.2001)
662: (x,y) = (28.5887, 26.668)
663: (x,y) = (27.4703, 25.0099)
664: (x,y) = (25.591, 25.694)
665: (x,y) = (27.4931, 26.312)
666: (x,y) = (28.3383, 28.1246)
667: (x,y) = (27.249, 29.802)
