Target Distance :100, Step Size : 2
326: (x,y) = (37.4878, -11.7469)
327: (x,y) = (39.4802, -11.9213)
328: (x,y) = (37.7481, -10.9213)
329: (x,y) = (37.8179, -8.92247)
330: (x,y) = (37.0044, -10.7496)
331: (x,y) = (38.18, -12.3676)
332: (x,y) = (38.18, -10.3676)
333: (x,y) = (36.5417, -9.22044)
334: (x,y) = (35.5116, -10.9348)
335: (x,y) = (37.4749, -11.3164)
336: (x,y) = (38.0262, -13.2389)
337: (x,y) = (37.3421, -11.3595)
338: (x,y) = (38.9602, -12.5351)
339: (x,y) = (39.5782, -10.633)
340: (x,y) = (41.5414, -11.0146)
341: (x,y) = (41.681, -9.01948)
342: (x,y) = (43.2353, -7.76084)
343: (x,y) = (42.4218, -9.58793)
344: (x,y) = (42.1434, -11.5685)
345: (x,y) = (42.1085, -9.56877)
346: (x,y) = (44.0106, -10.1868)
347: (x,y) = (42.2963, -11.2169)
348: (x,y) = (42.6436, -13.1865)
349: (x,y) = (41.4965, -11.5482)
350: (x,y) = (40.6512, -13.3608)
351: (x,y) = (38.9551, -14.4206)
352: (x,y) = (40.8776, -13.8694)
353: (x,y) = (40.5303, -11.8998)
354: (x,y) = (38.5816, -11.4499)
355: (x,y) = (39.9709, -12.8885)
356: (x,y) = (39.4533, -14.8204)
357: (x,y) = (38.7365, -16.6875)
358: (x,y) = (36.7365, -16.6875)
359: (x,y) = (35.9231, -18.5146)
360: (x,y) = (37.3124, -19.9533)
361: (x,y) = (35.5632, -20.9229)
362: (x,y) = (37.2952, -19.9229)
363: (x,y) = (35.5809, -18.8929)
364: (x,y) = (37.483, -19.5109)
365: (x,y) = (35.5809, -18.8929)
366: (x,y) = (37.1781, -20.0965)
367: (x,y) = (35.3961, -19.1885)
368: (x,y) = (33.529, -19.9052)
369: (x,y) = (32.0195, -18.5931)
370: (x,y) = (30.3812, -19.7403)
371: (x,y) = (29.2057, -21.3583)
372: (x,y) = (29.553, -19.3887)
373: (x,y) = (27.9987, -20.6473)
374: (x,y) = (27.1534, -18.8347)
375: (x,y) = (29.1458, -18.6604)
376: (x,y) = (27.2052, -18.1766)
377: (x,y) = (25.4732, -19.1766)
378: (x,y) = (25.2641, -21.1656)
379: (x,y) = (24.0605, -22.7629)
380: (x,y) = (26.0456, -22.5191)
381: (x,y) = (24.842, -20.9219)
382: (x,y) = (23.2659, -22.1532)
383: (x,y) = (21.5886, -23.2425)
384: (x,y) = (23.1646, -22.0112)
385: (x,y) = (21.9333, -20.4351)
386: (x,y) = (20.0539, -19.7511)
387: (x,y) = (21.2295, -21.3691)
388: (x,y) = (22.5151, -19.837)
389: (x,y) = (23.4847, -18.0878)
390: (x,y) = (21.4996, -17.8441)
391: (x,y) = (19.559, -18.3279)
392: (x,y) = (17.5666, -18.5022)
393: (x,y) = (15.9693, -17.2986)
394: (x,y) = (17.9181, -17.7485)
395: (x,y) = (19.8877, -17.4012)
396: (x,y) = (18.3334, -18.6598)
397: (x,y) = (19.1786, -16.8472)
398: (x,y) = (17.1935, -16.6035)
399: (x,y) = (18.9079, -15.5734)
400: (x,y) = (17.4937, -14.1592)
401: (x,y) = (18.9323, -12.7699)
402: (x,y) = (17.2362, -13.8297)
403: (x,y) = (17.9203, -15.7091)
404: (x,y) = (17.6074, -17.6845)
405: (x,y) = (19.3035, -18.7443)
406: (x,y) = (20.3928, -20.4216)
407: (x,y) = (21.7049, -21.9311)
408: (x,y) = (19.7643, -21.4472)
409: (x,y) = (17.8418, -21.9985)
410: (x,y) = (15.9012, -21.5147)
411: (x,y) = (17.3154, -22.9289)
412: (x,y) = (18.8697, -21.6702)
413: (x,y) = (18.765, -23.6675)
414: (x,y) = (20.6671, -23.0495)
415: (x,y) = (21.8708, -24.6467)
416: (x,y) = (19.9145, -24.2309)
417: (x,y) = (20.7912, -26.0285)
418: (x,y) = (19.1332, -24.9101)
419: (x,y) = (17.2788, -24.1609)
420: (x,y) = (16.3398, -22.395)
421: (x,y) = (15.1085, -23.971)
422: (x,y) = (13.3942, -25.0011)
423: (x,y) = (14.4835, -23.3237)
424: (x,y) = (12.6163, -24.0405)
425: (x,y) = (11.278, -25.5268)
426: (x,y) = (10.7942, -23.5862)
427: (x,y) = (9.0981, -22.5263)
428: (x,y) = (11.0905, -22.7007)
429: (x,y) = (9.72649, -21.2379)
430: (x,y) = (8.57934, -22.8763)
431: (x,y) = (9.02924, -24.825)
432: (x,y) = (9.90598, -23.0274)
433: (x,y) = (8.24791, -24.1458)
434: (x,y) = (8.35258, -22.1485)
435: (x,y) = (9.862, -20.8364)
436: (x,y) = (11.7939, -20.3188)
437: (x,y) = (13.696, -19.7007)
438: (x,y) = (13.1112, -21.6134)
439: (x,y) = (11.2841, -20.7999)
440: (x,y) = (12.6224, -22.2862)
441: (x,y) = (10.63, -22.1119)
442: (x,y) = (11.248, -24.014)
443: (x,y) = (13.2177, -23.6667)
444: (x,y) = (15.1664, -23.2168)
445: (x,y) = (13.7522, -21.8026)
446: (x,y) = (11.9112, -21.0211)
447: (x,y) = (11.0659, -19.2085)
448: (x,y) = (12.5754, -20.5206)
449: (x,y) = (11.5155, -18.8245)
450: (x,y) = (13.5128, -18.9292)
451: (x,y) = (11.7152, -19.8059)
452: (x,y) = (9.90257, -18.9607)
453: (x,y) = (9.83277, -16.9619)
454: (x,y) = (11.7349, -17.5799)
455: (x,y) = (9.88051, -16.8307)
456: (x,y) = (9.7062, -14.8383)
457: (x,y) = (10.766, -13.1422)
458: (x,y) = (10.8707, -15.1395)
459: (x,y) = (12.0179, -16.7778)
460: (x,y) = (10.0425, -16.4649)
461: (x,y) = (8.46647, -17.6962)
462: (x,y) = (6.8692, -18.8999)
463: (x,y) = (5.21112, -20.0183)
464: (x,y) = (4.55998, -21.9093)
465: (x,y) = (2.69282, -22.626)
466: (x,y) = (0.723208, -22.2787)
467: (x,y) = (1.17311, -24.2275)
468: (x,y) = (-0.336309, -25.5396)
469: (x,y) = (-2.336, -25.5745)
470: (x,y) = (-1.18885, -27.2128)
471: (x,y) = (-3.1207, -27.7304)
472: (x,y) = (-4.29627, -29.3485)
473: (x,y) = (-5.97361, -28.2592)
474: (x,y) = (-4.1916, -27.3512)
475: (x,y) = (-2.25975, -26.8336)
476: (x,y) = (-0.262491, -26.9383)
477: (x,y) = (0.797348, -28.6344)
478: (x,y) = (-1.01527, -29.4796)
479: (x,y) = (-3.01496, -29.5145)
480: (x,y) = (-2.2335, -27.6735)
481: (x,y) = (-2.09399, -29.6686)
482: (x,y) = (-2.44128, -27.699)
483: (x,y) = (-0.80298, -28.8461)
484: (x,y) = (-2.60057, -27.9694)
485: (x,y) = (-3.66041, -26.2733)
486: (x,y) = (-1.94607, -25.2432)
487: (x,y) = (-0.976453, -23.494)
488: (x,y) = (-2.95183, -23.8069)
489: (x,y) = (-4.8062, -24.5561)
490: (x,y) = (-4.42458, -26.5193)
491: (x,y) = (-4.66832, -24.5342)
492: (x,y) = (-3.6987, -26.2835)
493: (x,y) = (-1.72908, -25.9362)
494: (x,y) = (-1.90339, -23.9438)
495: (x,y) = (-3.90309, -23.9787)
496: (x,y) = (-2.371, -25.2643)
497: (x,y) = (-3.88042, -23.9522)
498: (x,y) = (-5.24442, -25.4149)
499: (x,y) = (-7.13545, -26.066)
500: (x,y) = (-8.13545, -24.3339)
501: (x,y) = (-10.0376, -23.7159)
502: (x,y) = (-8.50548, -25.0015)
503: (x,y) = (-10.3326, -25.815)
504: (x,y) = (-8.80048, -27.1005)
505: (x,y) = (-7.18245, -28.2761)
506: (x,y) = (-9.1143, -27.7585)
507: (x,y) = (-7.17371, -28.2423)
508: (x,y) = (-7.41745, -26.2572)
509: (x,y) = (-7.83327, -24.3009)
510: (x,y) = (-9.00884, -22.6829)
511: (x,y) = (-7.1178, -23.334)
512: (x,y) = (-5.30519, -22.4888)
513: (x,y) = (-4.92357, -20.5255)
514: (x,y) = (-5.5416, -18.6234)
515: (x,y) = (-6.9056, -17.1607)
516: (x,y) = (-8.89069, -16.917)
517: (x,y) = (-10.377, -18.2552)
518: (x,y) = (-12.3621, -18.0115)
519: (x,y) = (-12.0492, -16.0361)
520: (x,y) = (-13.9036, -15.2869)
521: (x,y) = (-12.0492, -16.0361)
522: (x,y) = (-10.0492, -16.0361)
523: (x,y) = (-8.43117, -14.8606)
524: (x,y) = (-10.4065, -14.5477)
525: (x,y) = (-11.916, -13.2356)
526: (x,y) = (-13.9157, -13.2705)
527: (x,y) = (-15.2797, -14.7332)
528: (x,y) = (-13.9941, -16.2653)
529: (x,y) = (-12.0135, -16.5436)
530: (x,y) = (-11.3624, -14.6526)
531: (x,y) = (-13.332, -14.3053)
532: (x,y) = (-14.5907, -15.8596)
533: (x,y) = (-13.0146, -17.0909)
534: (x,y) = (-11.0159, -17.0211)
535: (x,y) = (-9.31977, -18.0809)
536: (x,y) = (-10.9971, -19.1702)
537: (x,y) = (-12.6745, -18.0809)
538: (x,y) = (-11.6745, -19.813)
539: (x,y) = (-13.615, -19.3291)
540: (x,y) = (-15.5172, -19.9472)
541: (x,y) = (-14.866, -21.8382)
542: (x,y) = (-16.3047, -20.4489)
543: (x,y) = (-17.7434, -21.8382)
544: (x,y) = (-15.8413, -21.2202)
545: (x,y) = (-13.878, -20.8386)
546: (x,y) = (-14.7232, -19.0259)
547: (x,y) = (-15.44, -20.8931)
548: (x,y) = (-14.4099, -19.1788)
549: (x,y) = (-14.7572, -17.2092)
550: (x,y) = (-14.1061, -15.3181)
551: (x,y) = (-14.3844, -17.2987)
552: (x,y) = (-15.8938, -18.6108)
553: (x,y) = (-15.6848, -20.5998)
554: (x,y) = (-17.6254, -21.0837)
555: (x,y) = (-18.2101, -22.9963)
556: (x,y) = (-19.0236, -24.8234)
557: (x,y) = (-20.2549, -26.3994)
558: (x,y) = (-19.0236, -27.9754)
559: (x,y) = (-18.1156, -29.7574)
560: (x,y) = (-18.3939, -31.738)
561: (x,y) = (-18.3939, -33.738)
562: (x,y) = (-20.0323, -34.8851)
563: (x,y) = (-18.8851, -33.2468)
564: (x,y) = (-17.6815, -34.8441)
565: (x,y) = (-19.1909, -33.532)
566: (x,y) = (-19.0166, -31.5396)
567: (x,y) = (-20.1921, -29.9215)
568: (x,y) = (-18.9335, -28.3672)
569: (x,y) = (-17.9946, -30.1331)
570: (x,y) = (-19.8217, -30.9466)
571: (x,y) = (-21.3311, -32.2587)
572: (x,y) = (-22.9694, -31.1116)
573: (x,y) = (-22.6565, -33.087)
574: (x,y) = (-21.1702, -34.4252)
575: (x,y) = (-19.9389, -36.0012)
576: (x,y) = (-19.4213, -34.0694)
577: (x,y) = (-17.9826, -32.6801)
578: (x,y) = (-19.5798, -33.8837)
579: (x,y) = (-20.9438, -35.3464)
580: (x,y) = (-22.6212, -36.4357)
581: (x,y) = (-23.8248, -38.033)
582: (x,y) = (-24.1721, -40.0026)
583: (x,y) = (-22.27, -39.3845)
584: (x,y) = (-21.1807, -41.0619)
585: (x,y) = (-22.4663, -39.5298)
586: (x,y) = (-21.2627, -41.1271)
587: (x,y) = (-20.5786, -43.0064)
588: (x,y) = (-22.571, -43.1808)
589: (x,y) = (-24.5707, -43.1458)
590: (x,y) = (-24.7798, -45.1349)
591: (x,y) = (-23.9345, -46.9475)
592: (x,y) = (-25.8571, -46.3962)
593: (x,y) = (-27.5344, -45.307)
594: (x,y) = (-28.3796, -43.4943)
595: (x,y) = (-28.5539, -41.5019)
596: (x,y) = (-28.3102, -39.5169)
597: (x,y) = (-26.8239, -38.1786)
598: (x,y) = (-26.511, -36.2032)
599: (x,y) = (-25.0724, -34.8139)
600: (x,y) = (-26.9395, -34.0972)
601: (x,y) = (-25.0985, -34.8786)
602: (x,y) = (-24.6486, -32.9299)
603: (x,y) = (-23.1859, -31.5659)
604: (x,y) = (-22.6346, -29.6434)
605: (x,y) = (-24.5752, -30.1272)
606: (x,y) = (-26.4023, -29.3137)
607: (x,y) = (-24.7062, -28.2539)
608: (x,y) = (-25.0535, -26.2843)
609: (x,y) = (-23.1864, -25.5675)
610: (x,y) = (-21.307, -26.2516)
611: (x,y) = (-19.3664, -26.7354)
612: (x,y) = (-21.3227, -27.1513)
613: (x,y) = (-19.6646, -26.0329)
614: (x,y) = (-21.5772, -26.6176)
615: (x,y) = (-21.647, -24.6188)
616: (x,y) = (-19.6983, -25.0687)
617: (x,y) = (-20.415, -26.9359)
618: (x,y) = (-21.7533, -25.4496)
619: (x,y) = (-23.7457, -25.2753)
620: (x,y) = (-25.3429, -24.0717)
621: (x,y) = (-23.5158, -23.2582)
622: (x,y) = (-23.2721, -25.2433)
623: (x,y) = (-25.2526, -25.5216)
624: (x,y) = (-25.3573, -27.5189)
625: (x,y) = (-24.3272, -25.8046)
626: (x,y) = (-23.1517, -24.1865)
627: (x,y) = (-21.9203, -22.6105)
628: (x,y) = (-21.0751, -24.4231)
629: (x,y) = (-22.9545, -25.1072)
630: (x,y) = (-23.4721, -23.1753)
631: (x,y) = (-21.6901, -22.2673)
632: (x,y) = (-21.5506, -20.2722)
633: (x,y) = (-22.3321, -18.4312)
634: (x,y) = (-20.6938, -17.284)
635: (x,y) = (-20.624, -19.2828)
636: (x,y) = (-22.156, -17.9972)
637: (x,y) = (-23.5703, -16.583)
638: (x,y) = (-23.1544, -18.5393)
639: (x,y) = (-23.9036, -20.3937)
640: (x,y) = (-25.8163, -20.9784)
641: (x,y) = (-26.533, -19.1113)
642: (x,y) = (-26.0491, -17.1707)
643: (x,y) = (-27.5354, -15.8324)
644: (x,y) = (-26.4462, -17.5098)
645: (x,y) = (-25.0822, -18.9725)
646: (x,y) = (-23.77, -20.4819)
647: (x,y) = (-24.5515, -22.3229)
648: (x,y) = (-26.5002, -21.873)
649: (x,y) = (-26.8819, -23.8362)
650: (x,y) = (-28.784, -24.4543)
651: (x,y) = (-30.675, -25.1054)
652: (x,y) = (-32.6069, -25.6231)
653: (x,y) = (-34.5556, -25.1732)
654: (x,y) = (-33.38, -23.5551)
655: (x,y) = (-32.9984, -21.5919)
656: (x,y) = (-32.1532, -23.4045)
657: (x,y) = (-31.0639, -21.7271)
